opportunity_id,sales_agent,product,model_1,model_2,model_3,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price
JJXRR8R6,James Ascencio,GTX Plus Pro,GTX,Plus,Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0,Summer Sewald,West,GTX,5482
WF4HA5NW,Moses Frase,MG Special,MG,Special,NA,Ron-tech,Won,2016-11-07,2017-03-18,50,Dustin Brinkmann,Central,MG,55
C5K2JP1H,Violet Mclelland,GTX Plus Basic,GTX,Plus,Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014,Cara Losch,East,GTX,1096
ADRB8OMB,Darcel Schlecht,GTX Basic,GTX,Basic,NA,Warephase,Won,2016-11-08,2017-03-26,561,Melvin Marxen,Central,GTX,550
SBCR987L,Kami Bicknell,GTX Basic,GTX,Basic,NA,Zoomit,Won,2016-11-10,2017-03-23,590,Summer Sewald,West,GTX,550
JSD4APT2,Versie Hillebrand,MG Special,MG,Special,NA,Bioholding,Won,2016-11-10,2017-03-12,61,Dustin Brinkmann,Central,MG,55
AO9Z2D17,Violet Mclelland,GTX Plus Pro,GTX,Plus,Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0,Cara Losch,East,GTX,5482
5M58DTJK,Elease Gluck,MG Special,MG,Special,NA,Cheers,Won,2016-11-11,2017-03-05,58,Celia Rouche,West,MG,55
KNY1OSAB,Maureen Marcano,GTX Pro,GTX,Pro,NA,Labdrill,Won,2016-11-11,2017-03-14,4899,Summer Sewald,West,GTX,4821
EAZDUUM9,Rosie Papadopoulos,MG Advanced,MG,Advanced,NA,Zotware,Lost,2016-11-11,2017-03-01,0,Cara Losch,East,MG,3393
2STUSOFE,Versie Hillebrand,MG Special,MG,Special,NA,dambase,Won,2016-11-11,2017-03-03,67,Dustin Brinkmann,Central,MG,55
JYKM0B00,James Ascencio,GTX Pro,GTX,Pro,NA,Xx-holding,Won,2016-11-12,2017-03-06,4338,Summer Sewald,West,GTX,4821
KU28360J,Kary Hendrixson,GTX Basic,GTX,Basic,NA,Fasehatice,Won,2016-11-12,2017-03-19,578,Summer Sewald,West,GTX,550
N4SD17JR,Reed Clapper,GTX Basic,GTX,Basic,NA,Acme Corporation,Won,2016-11-12,2017-03-01,556,Rocco Neubert,East,GTX,550
E67P9Y3Q,Rosalina Dieter,GTX Basic,GTX,Basic,NA,Green-Plus,Won,2016-11-12,2017-03-03,635,Celia Rouche,West,GTX,550
AT3MMVIS,Wilburn Farren,MG Advanced,MG,Advanced,NA,The New York Inquirer,Won,2016-11-12,2017-03-07,3045,Cara Losch,East,MG,3393
REJ11LRY,Garret Kinder,GTX Plus Basic,GTX,Plus,Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233,Cara Losch,East,GTX,1096
ERV0CAZ7,Versie Hillebrand,MG Special,MG,Special,NA,Zumgoity,Won,2016-11-13,2017-03-09,60,Dustin Brinkmann,Central,MG,55
8SOQADK7,Anna Snelling,MG Special,MG,Special,NA,Gogozoom,Lost,2016-11-14,2017-03-30,0,Dustin Brinkmann,Central,MG,55
TCHFT25B,Darcel Schlecht,GTX Basic,GTX,Basic,NA,Stanredtax,Lost,2016-11-14,2017-03-08,0,Melvin Marxen,Central,GTX,550
CZVN09WN,Darcel Schlecht,GTX Plus Basic,GTX,Plus,Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170,Melvin Marxen,Central,GTX,1096
30UQWUKB,Marty Freudenburg,GTX Plus Basic,GTX,Plus,Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162,Melvin Marxen,Central,GTX,1096
97UN20YY,Darcel Schlecht,MG Advanced,MG,Advanced,NA,Conecom,Won,2016-11-16,2017-03-14,3725,Melvin Marxen,Central,MG,3393
JXLERZ9O,Kary Hendrixson,GTX Basic,GTX,Basic,NA,Golddex,Won,2016-11-16,2017-03-31,559,Summer Sewald,West,GTX,550
6ROE69W5,Rosalina Dieter,GTX Basic,GTX,Basic,NA,Plexzap,Lost,2016-11-16,2017-03-11,0,Celia Rouche,West,GTX,550
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,GTX,Plus,Basic,Rundofase,Lost,2016-11-17,2017-03-21,0,Melvin Marxen,Central,GTX,1096
XKMZVSN4,James Ascencio,GTX Plus Pro,GTX,Plus,Pro,Sonron,Won,2016-11-17,2017-03-05,4667,Summer Sewald,West,GTX,5482
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,GTX,Plus,Basic,Finhigh,Won,2016-11-17,2017-03-17,903,Melvin Marxen,Central,GTX,1096
XY42936P,Maureen Marcano,GTX Plus Basic,GTX,Plus,Basic,Finjob,Won,2016-11-17,2017-03-13,1180,Summer Sewald,West,GTX,1096
XRN54MBM,Niesha Huffines,GTX Basic,GTX,Basic,NA,Ron-tech,Won,2016-11-17,2017-03-05,487,Melvin Marxen,Central,GTX,550
2V848WZD,Lajuana Vencill,MG Advanced,MG,Advanced,NA,Stanredtax,Won,2016-11-18,2017-03-04,3180,Dustin Brinkmann,Central,MG,3393
ONYNTUCG,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Funholding,Lost,2016-11-19,2017-03-17,0,Melvin Marxen,Central,GTX,4821
HIOHX80Y,Darcel Schlecht,MG Advanced,MG,Advanced,NA,Gogozoom,Won,2016-11-19,2017-03-18,3563,Melvin Marxen,Central,MG,3393
LPKT07PV,Boris Faz,GTX Pro,GTX,Pro,NA,Opentech,Won,2016-11-20,2017-03-23,4704,Rocco Neubert,East,GTX,4821
WPB2SLIG,Donn Cantrell,GTX Plus Pro,GTX,Plus,Pro,Silis,Won,2016-11-20,2017-03-14,5585,Rocco Neubert,East,GTX,5482
XUSUEAV7,Elease Gluck,GTK 500,GTK,500,NA,Zoomit,Won,2016-11-20,2017-03-09,25897,Celia Rouche,West,GTK,26768
3TYPII47,Kami Bicknell,GTX Plus Basic,GTX,Plus,Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207,Summer Sewald,West,GTX,1096
7WAX8Z8O,Lajuana Vencill,MG Advanced,MG,Advanced,NA,Cancity,Lost,2016-11-20,2017-03-08,0,Dustin Brinkmann,Central,MG,3393
MYDUMR3R,Lajuana Vencill,GTX Basic,GTX,Basic,NA,Rangreen,Won,2016-11-20,2017-03-04,559,Dustin Brinkmann,Central,GTX,550
37JFKD4I,Niesha Huffines,GTX Plus Basic,GTX,Plus,Basic,dambase,Won,2016-11-20,2017-03-09,1033,Melvin Marxen,Central,GTX,1096
25YKPHX8,Donn Cantrell,GTX Basic,GTX,Basic,NA,Kan-code,Won,2016-11-21,2017-03-21,462,Rocco Neubert,East,GTX,550
BXXMA7F3,Hayden Neloms,MG Advanced,MG,Advanced,NA,Nam-zim,Lost,2016-11-21,2017-03-01,0,Celia Rouche,West,MG,3393
GIUUTBXM,Kary Hendrixson,GTX Pro,GTX,Pro,NA,Y-corporation,Won,2016-11-21,2017-03-14,5539,Summer Sewald,West,GTX,4821
MFX2LR1Q,Lajuana Vencill,MG Advanced,MG,Advanced,NA,Ron-tech,Won,2016-11-21,2017-03-15,3573,Dustin Brinkmann,Central,MG,3393
DUHE9FLY,Marty Freudenburg,GTX Pro,GTX,Pro,NA,Conecom,Won,2016-11-21,2017-03-01,4926,Melvin Marxen,Central,GTX,4821
96BSG7R1,Zane Levy,GTX Plus Basic,GTX,Plus,Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0,Summer Sewald,West,GTX,1096
7FQMSWIX,Corliss Cosme,MG Special,MG,Special,NA,Bioplex,Won,2016-11-22,2017-03-04,62,Cara Losch,East,MG,55
C20AVXN7,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Gogozoom,Won,2016-11-22,2017-03-14,4359,Melvin Marxen,Central,GTX,4821
GS1QVWCR,Kami Bicknell,GTX Basic,GTX,Basic,NA,Plusstrip,Won,2016-11-22,2017-03-31,566,Summer Sewald,West,GTX,550
ZWH8FXY3,Marty Freudenburg,GTX Basic,GTX,Basic,NA,Toughzap,Won,2016-11-22,2017-03-03,508,Melvin Marxen,Central,GTX,550
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,MG,Advanced,NA,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0,Cara Losch,East,MG,3393
AAR79NOO,Versie Hillebrand,MG Special,MG,Special,NA,Codehow,Won,2016-11-22,2017-03-11,51,Dustin Brinkmann,Central,MG,55
B6B0PNR2,Vicki Laflamme,GTX Pro,GTX,Pro,NA,Dalttechnology,Won,2016-11-22,2017-03-05,4899,Celia Rouche,West,GTX,4821
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,GTX,Plus,Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790,Cara Losch,East,GTX,5482
N0ONCYVZ,Donn Cantrell,MG Special,MG,Special,NA,Kinnamplus,Lost,2016-11-23,2017-03-30,0,Rocco Neubert,East,MG,55
513DPFX5,Gladys Colclough,GTX Pro,GTX,Pro,NA,Codehow,Won,2016-11-23,2017-03-03,4438,Melvin Marxen,Central,GTX,4821
RU023K5W,Gladys Colclough,MG Advanced,MG,Advanced,NA,Finhigh,Won,2016-11-23,2017-03-17,2972,Melvin Marxen,Central,MG,3393
BZCBQ514,Markita Hansen,GTX Basic,GTX,Basic,NA,Y-corporation,Won,2016-11-23,2017-03-01,523,Celia Rouche,West,GTX,550
HEE6P0QH,Anna Snelling,MG Advanced,MG,Advanced,NA,Statholdings,Won,2016-11-24,2017-03-25,3647,Dustin Brinkmann,Central,MG,3393
L8CHRJ2B,Cassey Cress,MG Advanced,MG,Advanced,NA,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200,Rocco Neubert,East,MG,3393
V2X2KMUR,Kami Bicknell,GTX Plus Basic,GTX,Plus,Basic,Faxquote,Won,2016-11-24,2017-03-28,1059,Summer Sewald,West,GTX,1096
AJIPJP75,Marty Freudenburg,GTX Plus Basic,GTX,Plus,Basic,Codehow,Lost,2016-11-24,2017-03-05,0,Melvin Marxen,Central,GTX,1096
NYVA2G6U,Versie Hillebrand,MG Special,MG,Special,NA,Dontechi,Won,2016-11-24,2017-03-02,57,Dustin Brinkmann,Central,MG,55
FF45BXTL,Vicki Laflamme,MG Advanced,MG,Advanced,NA,Konex,Won,2016-11-24,2017-03-27,3671,Celia Rouche,West,MG,3393
TTA9LYBS,Anna Snelling,MG Special,MG,Special,NA,Treequote,Won,2016-11-25,2017-03-01,58,Dustin Brinkmann,Central,MG,55
PAGZQH8L,Cecily Lampkin,MG Advanced,MG,Advanced,NA,Treequote,Won,2016-11-25,2017-03-06,3956,Dustin Brinkmann,Central,MG,3393
J7YF6DS7,Corliss Cosme,GTX Plus Pro,GTX,Plus,Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964,Cara Losch,East,GTX,5482
S5IXY4Z9,Corliss Cosme,GTX Pro,GTX,Pro,NA,Betasoloin,Won,2016-11-25,2017-03-06,4570,Cara Losch,East,GTX,4821
JQBJMETQ,Darcel Schlecht,MG Special,MG,Special,NA,Domzoom,Won,2016-11-25,2017-03-27,49,Melvin Marxen,Central,MG,55
0LVWSWEW,Violet Mclelland,MG Special,MG,Special,NA,Donquadtech,Won,2016-11-25,2017-03-06,65,Cara Losch,East,MG,55
K53BC1T9,Anna Snelling,MG Special,MG,Special,NA,Domzoom,Lost,2016-11-26,2017-03-27,0,Dustin Brinkmann,Central,MG,55
D40N5I9Y,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Finhigh,Won,2016-11-26,2017-03-08,4739,Melvin Marxen,Central,GTX,4821
051QTX8Z,Niesha Huffines,GTX Plus Basic,GTX,Plus,Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080,Melvin Marxen,Central,GTX,1096
5D2XH04S,Reed Clapper,MG Special,MG,Special,NA,Plussunin,Won,2016-11-26,2017-03-12,57,Rocco Neubert,East,MG,55
V9E582SK,Garret Kinder,GTX Basic,GTX,Basic,NA,Konex,Won,2016-11-27,2017-03-16,469,Cara Losch,East,GTX,550
UK0LEZRJ,Kary Hendrixson,GTX Basic,GTX,Basic,NA,Condax,Won,2016-11-27,2017-03-03,532,Summer Sewald,West,GTX,550
IT10CFQH,Rosalina Dieter,GTX Basic,GTX,Basic,NA,Konex,Won,2016-11-27,2017-03-26,538,Celia Rouche,West,GTX,550
8VKD2CCH,Rosie Papadopoulos,GTX Pro,GTX,Pro,NA,Massive Dynamic,Won,2016-11-27,2017-03-21,4829,Cara Losch,East,GTX,4821
2XQAKBXH,Zane Levy,GTX Plus Pro,GTX,Plus,Pro,Doncon,Won,2016-11-27,2017-03-11,5370,Summer Sewald,West,GTX,5482
7G7YLGJO,Zane Levy,GTX Plus Pro,GTX,Plus,Pro,Hatfan,Won,2016-11-27,2017-03-21,6499,Summer Sewald,West,GTX,5482
GCA97W27,Darcel Schlecht,GTX Plus Basic,GTX,Plus,Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161,Melvin Marxen,Central,GTX,1096
K8FUZHOG,Kary Hendrixson,GTX Basic,GTX,Basic,NA,Scotfind,Won,2016-11-28,2017-03-26,576,Summer Sewald,West,GTX,550
5WJZMULK,Maureen Marcano,GTX Plus Basic,GTX,Plus,Basic,Hatfan,Won,2016-11-28,2017-03-19,979,Summer Sewald,West,GTX,1096
ZPYD4T9W,Versie Hillebrand,MG Special,MG,Special,NA,Stanredtax,Won,2016-11-28,2017-03-07,43,Dustin Brinkmann,Central,MG,55
KE9ZEDS8,Gladys Colclough,MG Special,MG,Special,NA,Scottech,Won,2016-11-29,2017-03-07,57,Melvin Marxen,Central,MG,55
7KK0HQ4C,Lajuana Vencill,MG Special,MG,Special,NA,Ron-tech,Lost,2016-11-29,2017-03-28,0,Dustin Brinkmann,Central,MG,55
FP7014Z0,Lajuana Vencill,GTX Plus Basic,GTX,Plus,Basic,Funholding,Won,2016-11-29,2017-03-12,948,Dustin Brinkmann,Central,GTX,1096
N4HFHDMW,Wilburn Farren,MG Advanced,MG,Advanced,NA,Plussunin,Won,2016-11-29,2017-03-10,3012,Cara Losch,East,MG,3393
2HFLKREC,Cassey Cress,MG Advanced,MG,Advanced,NA,Zotware,Won,2016-11-30,2017-03-15,3665,Rocco Neubert,East,MG,3393
7JVTTVCO,Violet Mclelland,GTX Basic,GTX,Basic,NA,Gekko & Co,Won,2016-11-30,2017-03-24,564,Cara Losch,East,GTX,550
3X13866U,Anna Snelling,GTX Plus Basic,GTX,Plus,Basic,dambase,Lost,2016-12-01,2017-03-06,0,Dustin Brinkmann,Central,GTX,1096
7LE19SYE,Cassey Cress,MG Advanced,MG,Advanced,NA,Initech,Won,2016-12-01,2017-03-22,3463,Rocco Neubert,East,MG,3393
J5V2M7Y1,Corliss Cosme,GTX Basic,GTX,Basic,NA,Gekko & Co,Won,2016-12-01,2017-03-26,513,Cara Losch,East,GTX,550
41MURAI5,Corliss Cosme,GTX Basic,GTX,Basic,NA,Konex,Won,2016-12-01,2017-03-28,590,Cara Losch,East,GTX,550
QHI8WRIA,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Dontechi,Won,2016-12-01,2017-03-30,4511,Melvin Marxen,Central,GTX,4821
AJXAXV4W,Lajuana Vencill,MG Advanced,MG,Advanced,NA,Finhigh,Lost,2016-12-01,2017-03-02,0,Dustin Brinkmann,Central,MG,3393
VPDXX5PJ,Niesha Huffines,GTX Basic,GTX,Basic,NA,Cancity,Won,2016-12-01,2017-03-26,546,Melvin Marxen,Central,GTX,550
PZB9NUK8,Vicki Laflamme,MG Special,MG,Special,NA,Y-corporation,Won,2016-12-01,2017-03-05,46,Celia Rouche,West,MG,55
A0ANOYPF,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Ron-tech,Won,2016-12-02,2017-03-09,4891,Melvin Marxen,Central,GTX,4821
0P4AAPYX,Hayden Neloms,GTX Plus Basic,GTX,Plus,Basic,Golddex,Won,2016-12-02,2017-03-03,1040,Celia Rouche,West,GTX,1096
O6T5WC3W,Hayden Neloms,GTX Plus Basic,GTX,Plus,Basic,Sonron,Won,2016-12-02,2017-03-04,1108,Celia Rouche,West,GTX,1096
0NO04P6C,Hayden Neloms,MG Special,MG,Special,NA,Nam-zim,Won,2016-12-02,2017-03-04,59,Celia Rouche,West,MG,55
22OFSXBT,Jonathan Berthelot,GTX Pro,GTX,Pro,NA,Statholdings,Won,2016-12-02,2017-03-30,5406,Melvin Marxen,Central,GTX,4821
MRXZTMM6,Kary Hendrixson,GTX Basic,GTX,Basic,NA,Cheers,Won,2016-12-02,2017-03-20,515,Summer Sewald,West,GTX,550
LGI8QEC2,Moses Frase,GTX Basic,GTX,Basic,NA,Treequote,Won,2016-12-02,2017-03-06,583,Dustin Brinkmann,Central,GTX,550
6KZ0NCFX,Versie Hillebrand,MG Special,MG,Special,NA,Funholding,Won,2016-12-02,2017-03-14,54,Dustin Brinkmann,Central,MG,55
3SF8O9S6,Vicki Laflamme,MG Special,MG,Special,NA,Plusstrip,Won,2016-12-02,2017-03-27,60,Celia Rouche,West,MG,55
XK668R7C,Darcel Schlecht,GTX Basic,GTX,Basic,NA,Dontechi,Lost,2016-12-03,2017-03-12,0,Melvin Marxen,Central,GTX,550
TZCAQWL3,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Funholding,Lost,2016-12-03,2017-03-19,0,Melvin Marxen,Central,GTX,4821
BADC6A9H,Darcel Schlecht,GTX Basic,GTX,Basic,NA,Globex Corporation,Won,2016-12-03,2017-03-23,516,Melvin Marxen,Central,GTX,550
B8E0UUZR,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Rangreen,Won,2016-12-03,2017-03-22,4829,Melvin Marxen,Central,GTX,4821
I043RXJV,Moses Frase,GTX Plus Basic,GTX,Plus,Basic,Dontechi,Lost,2016-12-03,2017-03-17,0,Dustin Brinkmann,Central,GTX,1096
MWWB44CC,Reed Clapper,GTX Plus Basic,GTX,Plus,Basic,Donquadtech,Won,2016-12-03,2017-03-02,950,Rocco Neubert,East,GTX,1096
HBTINPDG,Vicki Laflamme,GTX Plus Basic,GTX,Plus,Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0,Celia Rouche,West,GTX,1096
DZ3KHZSX,Corliss Cosme,GTX Basic,GTX,Basic,NA,Initech,Won,2016-12-04,2017-03-20,513,Cara Losch,East,GTX,550
3W1K7X5F,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Condax,Lost,2016-12-04,2017-03-09,0,Melvin Marxen,Central,GTX,4821
45A57X68,Darcel Schlecht,GTX Plus Pro,GTX,Plus,Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522,Melvin Marxen,Central,GTX,5482
9SLYC4TR,Gladys Colclough,MG Special,MG,Special,NA,Cancity,Won,2016-12-04,2017-03-09,56,Melvin Marxen,Central,MG,55
JLWKWQYC,James Ascencio,GTX Pro,GTX,Pro,NA,Doncon,Won,2016-12-04,2017-03-08,5673,Summer Sewald,West,GTX,4821
7QC6FOKW,Kami Bicknell,GTX Basic,GTX,Basic,NA,Xx-holding,Won,2016-12-04,2017-03-10,598,Summer Sewald,West,GTX,550
XA184CMW,Marty Freudenburg,GTX Plus Pro,GTX,Plus,Pro,Rangreen,Won,2016-12-04,2017-03-16,5787,Melvin Marxen,Central,GTX,5482
S0N7BYU3,Maureen Marcano,GTX Plus Basic,GTX,Plus,Basic,Singletechno,Won,2016-12-04,2017-03-08,1070,Summer Sewald,West,GTX,1096
6WOMHAJM,Boris Faz,MG Advanced,MG,Advanced,NA,Donquadtech,Won,2016-12-05,2017-03-14,3677,Rocco Neubert,East,MG,3393
G1QGATKV,Cassey Cress,GTX Plus Pro,GTX,Plus,Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425,Rocco Neubert,East,GTX,5482
6XFVQI32,Donn Cantrell,MG Advanced,MG,Advanced,NA,Yearin,Won,2016-12-05,2017-03-23,3415,Rocco Neubert,East,MG,3393
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,GTX,Plus,Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891,Summer Sewald,West,GTX,1096
4NGBUZWJ,Lajuana Vencill,GTX Basic,GTX,Basic,NA,Codehow,Won,2016-12-06,2017-03-12,609,Dustin Brinkmann,Central,GTX,550
EFG5DGV5,Markita Hansen,MG Special,MG,Special,NA,Plusstrip,Won,2016-12-06,2017-03-16,54,Celia Rouche,West,MG,55
82MM4H33,Zane Levy,GTX Plus Basic,GTX,Plus,Basic,Labdrill,Won,2016-12-06,2017-03-09,1049,Summer Sewald,West,GTX,1096
14PM641K,Cassey Cress,GTX Plus Basic,GTX,Plus,Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152,Rocco Neubert,East,GTX,1096
DSBGHOPN,Daniell Hammack,MG Special,MG,Special,NA,Plussunin,Lost,2016-12-07,2017-03-20,0,Rocco Neubert,East,MG,55
1YSOZLHF,Daniell Hammack,GTX Pro,GTX,Pro,NA,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799,Rocco Neubert,East,GTX,4821
E8RP9FRW,Gladys Colclough,MG Special,MG,Special,NA,dambase,Won,2016-12-07,2017-03-12,51,Melvin Marxen,Central,MG,55
787IRG9Q,Hayden Neloms,MG Advanced,MG,Advanced,NA,J-Texon,Won,2016-12-07,2017-03-03,3426,Celia Rouche,West,MG,3393
0TUS4NAC,Jonathan Berthelot,MG Special,MG,Special,NA,Rangreen,Won,2016-12-07,2017-03-11,51,Melvin Marxen,Central,MG,55
FAJTQMUM,Kami Bicknell,GTX Basic,GTX,Basic,NA,Finjob,Won,2016-12-07,2017-03-20,564,Summer Sewald,West,GTX,550
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,GTX,Plus,Pro,Isdom,Won,2016-12-08,2017-03-01,5882,Dustin Brinkmann,Central,GTX,5482
UQ14O415,Donn Cantrell,GTX Pro,GTX,Pro,NA,Plussunin,Won,2016-12-08,2017-03-20,5059,Rocco Neubert,East,GTX,4821
BOJSLNDG,Kami Bicknell,MG Advanced,MG,Advanced,NA,Singletechno,Won,2016-12-08,2017-03-11,3388,Summer Sewald,West,MG,3393
DASMR0EK,Markita Hansen,GTX Plus Pro,GTX,Plus,Pro,Zoomit,Won,2016-12-08,2017-03-10,5410,Celia Rouche,West,GTX,5482
A76M0OOH,Reed Clapper,GTX Plus Basic,GTX,Plus,Basic,Zathunicon,Won,2016-12-08,2017-03-28,978,Rocco Neubert,East,GTX,1096
E1VKE2PH,Vicki Laflamme,MG Special,MG,Special,NA,Scotfind,Won,2016-12-08,2017-03-26,54,Celia Rouche,West,MG,55
SKY95DVG,Anna Snelling,MG Special,MG,Special,NA,Betatech,Lost,2016-12-09,2017-03-22,0,Dustin Brinkmann,Central,MG,55
V5OK4V5I,Cassey Cress,GTX Basic,GTX,Basic,NA,Bubba Gump,Won,2016-12-09,2017-03-14,549,Rocco Neubert,East,GTX,550
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,GTX,Plus,Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034,Cara Losch,East,GTX,1096
9R8JWY3J,Donn Cantrell,GTX Pro,GTX,Pro,NA,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998,Rocco Neubert,East,GTX,4821
0EOFVU05,Donn Cantrell,MG Advanced,MG,Advanced,NA,Ontomedia,Won,2016-12-09,2017-03-28,3421,Rocco Neubert,East,MG,3393
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,GTX,Plus,Pro,Doncon,Won,2016-12-09,2017-03-04,5425,Summer Sewald,West,GTX,5482
Y0NYI17R,Vicki Laflamme,MG Special,MG,Special,NA,Dalttechnology,Won,2016-12-09,2017-03-15,55,Celia Rouche,West,MG,55
R4F4RGAL,Violet Mclelland,MG Advanced,MG,Advanced,NA,Silis,Won,2016-12-09,2017-03-14,3558,Cara Losch,East,MG,3393
0ZHLQFGU,Kami Bicknell,GTX Pro,GTX,Pro,NA,Blackzim,Won,2016-12-10,2017-03-22,4839,Summer Sewald,West,GTX,4821
40DPY158,Markita Hansen,MG Special,MG,Special,NA,Hottechi,Won,2016-12-10,2017-03-25,47,Celia Rouche,West,MG,55
DP9E525R,Maureen Marcano,GTX Plus Basic,GTX,Plus,Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007,Summer Sewald,West,GTX,1096
DBDUMQQK,Niesha Huffines,MG Special,MG,Special,NA,Inity,Won,2016-12-10,2017-03-24,48,Melvin Marxen,Central,MG,55
CNBN12RL,Versie Hillebrand,MG Special,MG,Special,NA,Treequote,Won,2016-12-10,2017-03-07,49,Dustin Brinkmann,Central,MG,55
OXL0YWEE,Violet Mclelland,GTX Basic,GTX,Basic,NA,Mathtouch,Won,2016-12-10,2017-03-18,504,Cara Losch,East,GTX,550
